PYM0001, REC001, STU001, SUB001, 150.00, 2025/01/01, Pending
PYM0002, REC001, STU002, SUB002, 160.00, 2025/01/02, Paid
PYM0003, REC002, STU003, SUB003, 180.00, 2025/01/03, Paid
PYM0004, REC002, STU004, SUB001, 150.00, 2025/02/04, Paid
PYM0005, REC003, STU005, SUB002, 160.00, 2025/03/05, Paid
PYM0006, REC003, STU006, SUB003, 180.00, 2025/04/06, Paid
PYM0007, REC001, STU007, SUB001, 150.00, 2025/05/07, Paid
PYM0008, REC001, STU008, SUB002, 160.00, 2025/06/08, Paid
PYM0009, REC002, STU009, SUB003, 180.00, 2025/07/09, Paid
PYM0010, REC002, STU010, SUB001, 150.00, 2025/08/10, Paid
PYM0011, REC003, STU011, SUB002, 160.00, 2025/09/11, Paid
PYM0012, REC003, STU012, SUB003, 180.00, 2025/10/12, Paid
PYM0013, REC001, STU013, SUB001, 150.00, 2025/07/13, Paid
PYM0014, REC001, STU014, SUB002, 160.00, 2025/07/14, Paid
PYM0015, REC002, STU015, SUB003, 180.00, 2025/07/15, Paid
PYM0016, REC002, STU016, SUB001, 150.00, 2025/07/16, Paid
PYM0017, REC003, STU017, SUB002, 160.00, 2025/07/17, Paid
PYM0018, REC003, STU018, SUB003, 180.00, 2025/07/18, Paid
PYM0019, REC001, STU019, SUB001, 150.00, 2025/07/19, Paid
PYM0020, REC001, STU020, SUB002, 160.00, 2025/07/20, Paid
PYM0021, REC002, STU021, SUB003, 180.00, 2025/07/21, Paid
PYM0022, REC002, STU022, SUB001, 150.00, 2025/07/22, Paid
PYM0023, REC003, STU023, SUB002, 160.00, 2025/07/23, Paid
PYM0024, REC003, STU024, SUB003, 180.00, 2025/07/24, Paid
PYM0025, REC001, STU025, SUB001, 150.00, 2025/07/25, Paid
PYM0026, REC001, STU026, SUB002, 160.00, 2025/07/26, Paid
PYM0027, REC002, STU027, SUB003, 180.00, 2025/07/27, Paid
PYM0028, REC002, STU028, SUB001, 150.00, 2025/07/28, Paid
PYM0029, REC003, STU029, SUB002, 160.00, 2025/07/29, Paid
PYM0030, REC003, STU030, SUB003, 180.00, 2025/07/30, Paid
